"PRODUCT CODE","PRODUCT NAME","FRENCH PRODUCT NAME","language","ACCEPTANCE DATE","COMPANY CODE","SUB_CAT"
B163-691,COROTECH PRE-CATALYZED WATERBORNE Epoxy Semigloss - Accent Base,COROTECH PRE-CATALYZED WATERBORNE Epoxy Semigloss - Accent Base,E,"2014-10-31 00:00:00",B163,"11"
B163-692,COROTECH ACRYLIC GLOSS DTM - White,COROTECH ACRYLIC GLOSS DTM - White,E,"2014-10-31 00:00:00",B163,"9"
B163-693,COROTECH ACRYLIC GLOSS DTM - White,COROTECH ACRYLIC GLOSS DTM - White,E,"2014-10-31 00:00:00",B163,"11"
B163-694,COROTECH ACRYLIC GLOSS DTM - Pastel Base,COROTECH ACRYLIC GLOSS DTM - Pastel Base,E,"2014-10-31 00:00:00",B163,"9"
B163-695,COROTECH ACRYLIC GLOSS DTM - Pastel Base,COROTECH ACRYLIC GLOSS DTM - Pastel Base,E,"2014-10-31 00:00:00",B163,"11"
B163-696,COROTECH EPOXY MASTIC COATING TINTABLE White & Catalyst (2 Component System),COROTECH EPOXY MASTIC COATING TINTABLE White & Catalyst (2 Component System),E,"2014-10-31 00:00:00",B163,"9"
B163-697,COROTECH EPOXY MASTIC COATING TINTABLE White & Catalyst (2 Component System),COROTECH EPOXY MASTIC COATING TINTABLE White & Catalyst (2 Component System),E,"2014-10-31 00:00:00",B163,"11"
B163-698,COROTECH POLYAMIDE EPOXY PRIMER Gray & Catalyst (2 Component System),COROTECH POLYAMIDE EPOXY PRIMER Gray & Catalyst (2 Component System),E,"2014-10-31 00:00:00",B163,"9"
B163-699,COROTECH POLYAMIDE EPOXY PRIMER Gray & Catalyst (2 Component System),COROTECH POLYAMIDE EPOXY PRIMER Gray & Catalyst (2 Component System),E,"2014-10-31 00:00:00",B163,"11"
B221-017,LIDTEC,LIDTEC,E,"2014-10-29 00:00:00",B221,"81"
B265-125,Spec A6658,Spec A6658,E,"2014-10-29 00:00:00",B265,"81"
B265-126,Spec L7098 Series/M-6612,Spec L7098 Series/M-6612,E,"2014-10-29 00:00:00",B265,"81"
B265-127,Spec A5076 Series ,Spec A5076 Series ,E,"2014-10-29 00:00:00",B265,"81"
B265-128,Spec A9308 Series,Spec A9308 Series,E,"2014-10-29 00:00:00",B265,"81"
B265-129,Spec L7209 Series,Spec L7209 Series,E,"2014-11-13 00:00:00",B265,"81"
B265-130,Spec A6660 Series,Spec A6660 Series,E,"2014-11-13 00:00:00",B265,"81"
B265-131,Spec L7215 Series,Spec L7215 Series,E,"2014-11-13 00:00:00",B265,"81"
B265-132,Spec A6655 Series,Spec A6655 Series,E,"2014-11-13 00:00:00",B265,"81"
B265-133,Spec L8699 Series,Spec L8699 Series,E,"2014-11-13 00:00:00",B265,"81"
B265-134,Spec A7028 Series,Spec A7028 Series,E,"2014-11-13 00:00:00",B265,"81"
B265-135,Spec A6685 Series,Spec A6685 Series,E,"2014-10-29 00:00:00",B265,"81"
C127-143,ECOO  Environnement Eco-Plaque,ECOO  Environnement Eco-Plaque,E,"2014-10-23 00:00:00",C127,"3"
C127-144,ECOO  Environnement Eco-Rose   ,ECOO  Environnement Eco-Rose   ,E,"2014-10-23 00:00:00",C127,"3"
C127-145,ECOO  Environnement Eclatnet,ECOO  Environnement Eclatnet,E,"2014-10-23 00:00:00",C127,"3"
C127-146,ECOO  Environnement Merveille Blanc ,ECOO  Environnement Merveille Blanc ,E,"2014-10-23 00:00:00",C127,"4"
C127-147,ECOO  Environnement Merveille Rose ,ECOO  Environnement Merveille Rose ,E,"2014-10-23 00:00:00",C127,"4"
C343-265,"70300","70300",E,"2014-12-19 00:00:00",C343,"9"
C343-266,"70300","70300",E,"2014-12-19 00:00:00",C343,"10"
C343-267,"70300","70300",E,"2014-12-19 00:00:00",C343,"11"
C343-268,"70301","70301",E,"2014-12-19 00:00:00",C343,"9"
C343-269,"70301","70301",E,"2014-12-19 00:00:00",C343,"10"
C343-270,"70301","70301",E,"2014-12-19 00:00:00",C343,"11"
C343-271,"70304","70304",E,"2014-12-19 00:00:00",C343,"9"
C343-272,"70304","70304",E,"2014-12-19 00:00:00",C343,"10"
C343-273,"70304","70304",E,"2014-12-19 00:00:00",C343,"11"
C343-274,"74901","74901",E,"2014-12-19 00:00:00",C343,"9"
C343-275,"74901","74901",E,"2014-12-19 00:00:00",C343,"10"
C343-276,"74901","74901",E,"2014-12-19 00:00:00",C343,"11"
C343-277,"74903","74903",E,"2014-12-19 00:00:00",C343,"9"
C343-278,"74903","74903",E,"2014-12-19 00:00:00",C343,"10"
C343-279,"74903","74903",E,"2014-12-19 00:00:00",C343,"11"
C343-280,"74904","74904",E,"2014-12-19 00:00:00",C343,"9"
C343-281,"74904","74904",E,"2014-12-19 00:00:00",C343,"10"
C343-282,"74904","74904",E,"2014-12-19 00:00:00",C343,"11"
